S.NO,      STATE/UT,average for each state,pov rate(people % below the poverty line 2021-2022),literacy(2021) %,Sex Ratio,HDI,unemployment,Police personnel per lakh of population(Actual),NSDP in Rs(2019),,,
1,Andhra Pradesh,16877.2,12.3,67,1045,0.649,6.4833,113.68,"1,51,173",103214,,
2,Arunachal Pradesh,354.6,34.67,65.4,997,0.661,7.6,830.31,"1,39,588",90727,,
3,Assam,24992.4,31.98,72.2,1012,0.613,2.5666,207.49,"82,078",57835,,
4,Bihar,15501.8,33.74,61.8,1090,0.574,12.8083,76.2,"43,822",26699,,
5,Chhattisgarh,7187.8,39.93,70.3,1015,0.611,3.9166,220.53,"96,887",66122,,
6,Goa,359.2,3.76,88.7,1027,0.763,16.7666,511.78,"4,58,304",368685,,
7,Gujarat,8311,16.63,78,965,0.672,2.05,122.78,"1,97,447",153495,,
8,Haryana,11932.8,12.3,84.1,926,0.708,28.4475,180.19,"2,36,147",169409,,
9,Himachal Pradesh,1405.2,7.62,82.8,1040,0.725,11.8166,240.52,"1,79,188",139469,,
10,Jammu & Kashmir,3169.6,10.35,67.2,968,0.688,15.6916,610.25,"91,882",65178,,
11,Jharkhand,6745,36.96,66.4,1050,0.598,13.8833,172.18,"76,019",54982,,
12,Karnataka,13651.2,13.2,75.4,1034,0.683,2.675,125.95,"2,10,887",153276,,
13,Kerala,10544.4,0.71,94,1121,0.782,8.825,152.49,"2,04,105",148078,,
14,Madhya Pradesh,27405.8,31.65,69.3,970,0.603,2.8583,120.02,"90,998",56498,,
15,Maharashtra,33426.8,17.35,82.3,966,0.697,4.3916,174.87,"1,91,736",147450,,
16,Manipur,258.4,36.89,79.2,1066,0.697,9.5,942.93,"69,978",51180,,
17,Meghalaya,480.4,32.67,74.4,1039,0.656,2.28,455.56,"89,024",62458,,
18,Mizoram,199.6,9.8,91.3,1018,0.704,0,674.54,"1,68,626",107853,,
19,Nagaland,78.4,25.23,79.6,1007,0.679,19.3,1300.93,"1,16,882",73276,,
20,Odisha,19707.2,32.59,72.9,1063,0.605,2.4166,129.31,"95,164",76417,,
21,Punjab,5240.8,5.59,75.8,938,0.724,7.675,268.5,"1,54,996",115882,,
22,Rajasthan,30199.2,29.46,66.1,1099,0.628,23.95,122.36,"1,10,606",78570,,
23,Sikkim,133.2,3.82,81.4,990,0.717,6.47,851.27,"3,57,643",242002,,
24,Tamil Nadu,5492.6,4.89,80.1,1088,0.709,7.1166,148.54,"2,04,488",142941,,
25,Telangana,16490.2,13.74,66.54,1049,0.669,4.4416,130.88,"1,93,750",143618,,
26,Tripura,1045.8,16.65,87.2,1011,0.658,10.48,568.06,"1,13,102",82632,,
27,Uttar Pradesh,52019.6,29.43,67.7,1017,0.594,5.125,133.85,"66,512",44421,,
28,Uttarakhand,2068.6,17.72,78.8,1016,0.683,4.475,188.16,"1,98,738",155151,,
29,West Bengal,31502.2,14.88,76.3,1049,0.641,9.0916,100.53,"1,09,491",67300,,
30,A & N Islands,131.6,1,86.6,963,0.741,0,1080.9,"2,04,254",0,,
31,Chandigarh,457.4,21.81,86,917,0.776,7.89,649.62,"3,29,209",234998,,
32,Delhi UT,14505,9.91,86.2,913,0.746,15.0666,410.26,"3,65,529",269505,,
34,Lakshadweep,14.6,2.77,91.8,1187,0.751,0,392.65,0,0,,
35,Puducherry,116.6,9.69,85.8,1112,0.74,11.375,225.28,"2,20,461",142583,,

